game_id,date,y,margin,total,p_sim,m_sim,t_sim,p_elo,p_const,margin_sd_sim,total_sd_sim
espn:401705369,2025-02-21,1.0,8.0,214.0,0.671125,7.10275,231.3545,0.8390613216501632,0.55,16.427787204535495,20.41851071332089
espn:401705370,2025-02-21,0.0,-23.0,237.0,0.209375,-12.961375,230.205875,0.12093965005912309,0.55,16.25400360247822,20.207807661504873
espn:401705371,2025-02-21,0.0,-24.0,240.0,0.53825,1.536875,228.145875,0.5301991756792158,0.55,16.434503041904705,20.252804632553364
espn:401705372,2025-02-22,0.0,-4.0,238.0,0.446875,-2.054125,232.772875,0.46429670179012605,0.55,16.510653999293154,20.43852463448316
espn:401705373,2025-02-22,0.0,-2.0,208.0,0.6135,4.6565,216.64525,0.5760371784494402,0.55,15.976850683097716,19.733306931112686
espn:401705374,2025-02-22,0.0,-23.0,223.0,0.620375,4.916375,235.728875,0.7016619996947261,0.55,16.38837642536243,20.390024919905688
espn:401705375,2025-02-22,1.0,9.0,239.0,0.36825,-5.3785,218.9065,0.2988910989877348,0.55,16.23172781160404,19.675035139739904
espn:401705376,2025-02-22,1.0,53.0,229.0,0.5745,3.15675,216.13075,0.8601061873216825,0.55,16.25015167429215,20.074708078512625
espn:401705377,2025-02-23,1.0,13.0,223.0,0.6575,6.519125,230.298875,0.6953597165014433,0.55,16.59279615478883,20.673522891233972
espn:401705378,2025-02-23,1.0,24.0,228.0,0.507875,0.55675,227.57175,0.5832071201814978,0.55,16.368087225986425,20.395142851608075
espn:401705379,2025-02-23,1.0,18.0,240.0,0.52575,1.04825,228.11175,0.6802282679947054,0.55,16.18746187447248,20.155849323149347
espn:401705380,2025-02-23,0.0,-5.0,291.0,0.494,-0.2005,228.8935,0.3559202255035532,0.55,16.298122583598396,20.162444240468467
espn:401705381,2025-02-23,1.0,20.0,200.0,0.6785,7.63525,214.5465,0.8110020956517897,0.55,16.06394899884521,19.790208128011187
espn:401705382,2025-02-23,1.0,18.0,236.0,0.46425,-1.495625,224.577375,0.5087567560302149,0.55,16.13521709985258,20.003593754857526
espn:401705383,2025-02-23,1.0,7.0,233.0,0.59025,3.569625,223.281375,0.6832487968889384,0.55,16.520809676265113,19.991522030835345
espn:401705384,2025-02-23,1.0,18.0,210.0,0.47075,-1.355375,229.874875,0.39037288521758334,0.55,16.218441158427495,20.295362000574787
espn:401705385,2025-02-23,1.0,6.0,252.0,0.670625,7.258375,236.290125,0.7835778156967912,0.55,16.322503403564507,20.65741882434432
espn:401705386,2025-02-23,0.0,-7.0,253.0,0.389375,-4.696,223.3705,0.3990690148041226,0.55,16.650970962679622,20.114347609355864
espn:401705387,2025-02-24,1.0,9.0,203.0,0.474125,-0.87975,215.91525,0.7020247480998557,0.55,16.026128351460937,19.720397243400043
espn:401705388,2025-02-24,0.0,-9.0,241.0,0.430375,-2.817125,235.804375,0.5815339446974502,0.55,15.977388138690722,20.09312956857082
espn:401705389,2025-02-24,0.0,-32.0,252.0,0.580625,3.269125,228.932875,0.6399798711904914,0.55,16.661856041101032,20.09495880150977
espn:401705390,2025-02-24,1.0,8.0,206.0,0.393875,-4.2275,212.68975,0.3047435857261788,0.55,16.00592839387956,19.447936778422022
espn:401705391,2025-02-24,1.0,12.0,184.0,0.51625,0.786375,217.366375,0.5845483263594673,0.55,16.313927772286323,19.58009561670665
espn:401705392,2025-02-24,0.0,-3.0,259.0,0.669375,7.27025,216.617,0.78252673683845,0.55,16.37013942938483,20.145639999761734
espn:401705393,2025-02-24,0.0,-2.0,226.0,0.4895,-0.306125,226.765625,0.4087184635316879,0.55,16.35319273060692,20.138705106321385
espn:401705394,2025-02-24,1.0,42.0,218.0,0.706625,8.543375,222.390625,0.8317452333096037,0.55,15.786168585485681,19.821548554776818
espn:401705395,2025-02-25,0.0,-10.0,212.0,0.242625,-11.174,225.9755,0.1952433780236999,0.55,16.34185497426776,20.39432273330007
espn:401705396,2025-02-25,0.0,-40.0,204.0,0.297375,-8.702625,220.793625,0.1419924594063098,0.55,16.335152068755743,19.9069594453642
espn:401705397,2025-02-25,1.0,3.0,197.0,0.523375,0.9685,225.4745,0.5766750013024764,0.55,16.362441986146198,20.316664336204404
espn:401705398,2025-02-25,1.0,3.0,299.0,0.605,4.439375,233.419625,0.8102247335613261,0.55,16.330227328772096,20.27526916860477
espn:401705399,2025-02-25,1.0,6.0,212.0,0.49375,-0.2555,228.60525,0.4987778737894432,0.55,16.51947244163687,20.185128744635243
espn:401705400,2025-02-25,1.0,36.0,220.0,0.777375,12.303125,214.626625,0.9190486442371605,0.55,16.132668416426807,19.956094710874044
espn:401705401,2025-02-25,1.0,8.0,206.0,0.5525,2.195,229.23625,0.7256665237902918,0.55,16.210242903793883,20.182422697424112
espn:401705402,2025-02-26,1.0,20.0,214.0,0.37675,-5.08,223.01775,0.4332410627709355,0.55,16.747010180924832,20.138369718959378
espn:401705403,2025-02-26,1.0,20.0,202.0,0.726,9.367625,227.304625,0.8123971278709492,0.55,15.89024785393151,19.990555985499128
espn:401705404,2025-02-26,1.0,5.0,215.0,0.673,7.181375,229.015125,0.8803518926205338,0.55,16.14168448797631,20.192663178352056
espn:401705405,2025-02-26,0.0,-8.0,250.0,0.395375,-4.1355,222.54025,0.21597786127055882,0.55,16.426484400199573,19.89278461999476
espn:401705406,2025-02-26,0.0,-8.0,250.0,0.18675,-13.864375,218.060625,0.13047362841298965,0.55,15.710982810103735,20.06649445242928
espn:401705407,2025-02-26,1.0,22.0,240.0,0.526125,1.30775,223.62275,0.5259417235478601,0.55,16.301688254211587,20.095022578676044
espn:401705408,2025-02-26,0.0,-5.0,239.0,0.422,-3.205875,226.201625,0.3921587788449283,0.55,16.671644804408924,20.472706766799913
espn:401705409,2025-02-26,0.0,-17.0,219.0,0.39475,-4.587375,233.442625,0.46225869889734034,0.55,16.475743249073012,20.301304345026082
espn:401705410,2025-02-26,1.0,12.0,224.0,0.625625,5.182,215.3405,0.7546582554316549,0.55,15.972096794096885,19.872180548445105
espn:401705411,2025-02-27,0.0,-6.0,236.0,0.396625,-3.933875,214.273375,0.3287450421559249,0.55,16.20233015601074,19.757268057840765
espn:401705412,2025-02-27,1.0,9.0,233.0,0.44075,-2.300125,235.888375,0.37713946579160795,0.55,16.144063924067417,20.706313405803918
espn:401705413,2025-02-27,1.0,7.0,199.0,0.742125,10.35975,220.76425,0.8901775255976918,0.55,16.117143975825865,19.836536288815648
espn:401705414,2025-02-27,0.0,-8.0,240.0,0.59375,3.619625,231.385125,0.6305632678987726,0.55,16.315948941430744,20.44262223234522
espn:401705415,2025-02-27,1.0,9.0,213.0,0.4845,-0.527,224.942,0.5980459121676861,0.55,16.22893314423348,19.99880336420157
espn:401705416,2025-02-28,0.0,-15.0,253.0,0.47975,-1.044125,229.858625,0.6292253620538077,0.55,16.09809547693065,20.065340468314385
espn:401705417,2025-02-28,0.0,-16.0,254.0,0.267625,-10.489375,231.436875,0.16267054500313116,0.55,16.47239014561563,20.63063293344087
espn:401705418,2025-02-28,0.0,-7.0,239.0,0.511125,0.277125,232.740125,0.44698926263136324,0.55,16.95860627334614,20.863469030445895
espn:401705419,2025-02-28,0.0,-19.0,223.0,0.477,-0.93725,215.00125,0.3582298104770293,0.55,16.099132350456035,19.609257977738473
espn:401705420,2025-02-28,1.0,5.0,245.0,0.447125,-1.946625,226.062875,0.33436704453578703,0.55,16.271294543132548,20.22223829684476
espn:401705421,2025-02-28,1.0,10.0,240.0,0.55625,2.6,228.27125,0.5311729814413813,0.55,16.527303167788748,20.36626311912669
espn:401705422,2025-02-28,0.0,-1.0,227.0,0.525625,1.0515,234.379,0.5800592012106628,0.55,16.452290045765665,20.435810700826135
espn:401705423,2025-02-28,1.0,17.0,233.0,0.57975,3.21175,223.933,0.5524992277481098,0.55,15.986499364698327,20.00198767622858
espn:401705424,2025-02-28,1.0,1.0,233.0,0.358125,-5.843375,223.697875,0.2255133880315258,0.55,16.239368633335935,20.068777877199572
espn:401705425,2025-02-28,1.0,4.0,208.0,0.518875,0.61975,220.08975,0.7646399593134037,0.55,16.016964754206708,19.852750311669666
espn:401705426,2025-03-01,0.0,-13.0,213.0,0.544125,1.935875,218.749125,0.56838925032044,0.55,16.228478455615456,19.947090934128088
espn:401705427,2025-03-01,1.0,21.0,209.0,0.669375,6.7225,210.917,0.8789704249700254,0.55,15.571584497089564,19.63281337455231
espn:401705428,2025-03-01,0.0,-10.0,216.0,0.539125,1.743125,225.299375,0.6621945739480922,0.55,16.138219859525243,19.896111419304404
espn:401705429,2025-03-01,0.0,-2.0,258.0,0.613125,4.680375,226.772125,0.8319019246436338,0.55,16.342780205931152,19.828431556337858
espn:401705430,2025-03-01,1.0,7.0,245.0,0.409375,-3.630125,225.208625,0.22079763525761265,0.55,16.45369464540943,20.185071231218753
espn:401705431,2025-03-01,0.0,-15.0,249.0,0.505375,0.397125,228.806875,0.5538775514864314,0.55,16.445049915837135,19.934413152495235
espn:401705432,2025-03-02,1.0,7.0,213.0,0.58975,3.789625,234.228125,0.6032593791459478,0.55,16.66830427366188,20.753339104451964
espn:401705433,2025-03-02,1.0,4.0,262.0,0.784,12.631375,229.907875,0.8681895832302561,0.55,16.25032278477492,20.38140422013103
espn:401705434,2025-03-02,1.0,15.0,239.0,0.659625,6.793875,235.285625,0.8213887420963264,0.55,16.574118000194613,20.80815449191434
espn:401705435,2025-03-02,0.0,-4.0,228.0,0.44675,-2.081375,224.741375,0.35960738539263043,0.55,16.282836150664142,20.14095921522545
espn:401705436,2025-03-02,0.0,-2.0,206.0,0.567125,2.84075,213.116,0.6052204859628544,0.55,16.0597132426921,19.754487945780827
espn:401705437,2025-03-02,0.0,-14.0,278.0,0.22075,-12.2765,225.12975,0.14719252202362165,0.55,16.158041272072552,20.240637710741723
espn:401705438,2025-03-02,0.0,-7.0,249.0,0.509375,0.292125,231.093125,0.5621739107735647,0.55,16.312733921215507,20.266344089015536
espn:401705439,2025-03-02,0.0,-18.0,214.0,0.434375,-2.830875,228.154375,0.3034780491280277,0.55,16.451178429959814,20.44743977517418
espn:401705440,2025-03-02,1.0,6.0,210.0,0.5585,2.29725,223.0585,0.7790480697887625,0.55,16.26013968074998,19.745735685205556
espn:401705441,2025-03-03,0.0,-18.0,220.0,0.279625,-9.35675,218.873,0.1363809953023388,0.55,16.347858558156783,19.975888490878198
espn:401705442,2025-03-03,0.0,-17.0,221.0,0.563875,2.51775,219.33725,0.3297576173914858,0.55,15.892653489505772,19.785973881451984
espn:401705443,2025-03-03,1.0,16.0,196.0,0.683,7.5075,217.9385,0.8154450091376549,0.55,16.159639344675984,20.02038255753371
espn:401705444,2025-03-03,0.0,-2.0,262.0,0.631125,5.31125,234.85025,0.792333481386563,0.55,16.33653492750222,20.31533472373763
espn:401705445,2025-03-03,1.0,9.0,265.0,0.672375,7.50825,221.42725,0.8672246686956522,0.55,16.425146329256858,20.021069088275482
espn:401705446,2025-03-03,0.0,-24.0,220.0,0.512,0.403625,229.810125,0.5475554793625697,0.55,16.289381874686804,20.052563987789068
espn:401705447,2025-03-03,0.0,-28.0,240.0,0.34075,-6.2225,225.82175,0.2044963759289969,0.55,15.893819356907263,19.86983208126078
espn:401705448,2025-03-04,1.0,13.0,217.0,0.60625,4.486,224.43425,0.7074101255684729,0.55,16.165002443550698,19.9677972480066
espn:401705449,2025-03-04,0.0,-1.0,227.0,0.569125,2.67525,213.50925,0.567870882572549,0.55,15.79613204039204,19.487673397240112
espn:401705450,2025-03-04,0.0,-6.0,248.0,0.399,-4.268875,229.290375,0.3771382610236469,0.55,16.365308772961633,20.663290090384326
espn:401705451,2025-03-04,0.0,-12.0,216.0,0.58825,3.666,224.85325,0.6716318682952787,0.55,16.344882807778095,19.86591841414587
espn:401705452,2025-03-04,0.0,-22.0,256.0,0.26575,-10.643375,236.769875,0.10101220754870871,0.55,16.74393005268999,20.937643551373565
espn:401705453,2025-03-04,1.0,14.0,238.0,0.7185,9.1275,219.43,0.880987859256388,0.55,15.983616416505997,19.76402919447348
espn:401705454,2025-03-04,1.0,14.0,240.0,0.626625,5.174,218.65825,0.6684589979416299,0.55,15.97345372798256,19.770766473192182
espn:401705455,2025-03-04,1.0,2.0,236.0,0.47,-1.19525,226.9095,0.4158747242552404,0.55,16.322702822679215,19.898305449208483
espn:401705456,2025-03-04,1.0,21.0,251.0,0.668125,7.109375,228.706375,0.8782835722393196,0.55,16.273895111784856,20.15519559218851
espn:401705457,2025-03-05,1.0,10.0,246.0,0.7365,10.361625,223.816875,0.7570805878218443,0.55,16.589141097699272,20.302717557863403
espn:401705458,2025-03-05,0.0,-15.0,235.0,0.272,-9.558875,212.218875,0.09162798987564673,0.55,16.02127597085747,19.64208412400209
espn:401705459,2025-03-05,1.0,5.0,219.0,0.69575,8.25675,223.322,0.9180679958791841,0.55,16.181720533908006,20.706975056729075
espn:401705460,2025-03-05,1.0,3.0,247.0,0.438125,-2.31825,228.27825,0.4681076060407123,0.55,16.4079543800408,20.376550908765203
espn:401705461,2025-03-05,0.0,-17.0,223.0,0.34475,-6.59325,235.82475,0.2857559444410432,0.55,16.498660686173892,20.467817114619233
espn:401705462,2025-03-05,1.0,6.0,226.0,0.602125,4.044125,236.035125,0.710321606593346,0.55,16.044763257348954,20.32196204194799
espn:401705463,2025-03-05,1.0,30.0,244.0,0.54,1.633125,225.654625,0.7510320607249756,0.55,16.607935685520193,20.00734467912659
espn:401705464,2025-03-05,1.0,8.0,238.0,0.497,-0.262875,218.851625,0.3728446231375091,0.55,15.81206886319355,19.731734841604148
espn:401705465,2025-03-06,1.0,6.0,242.0,0.4005,-3.925625,236.169375,0.31000002879048644,0.55,16.544752743978226,20.310913005312564
espn:401705466,2025-03-06,1.0,18.0,228.0,0.734,9.79475,223.18175,0.9234330890856911,0.55,16.11058262253417,19.854507471541567
espn:401705467,2025-03-06,0.0,-2.0,240.0,0.32825,-7.0045,218.504,0.21444144380985836,0.55,16.29127771999483,20.1731810580285
espn:401705468,2025-03-06,0.0,-12.0,206.0,0.42775,-3.066375,224.494875,0.4478329742444487,0.55,16.333277973492493,20.295448350168936
espn:401705469,2025-03-06,1.0,4.0,222.0,0.548625,2.134625,228.207875,0.7072826305017594,0.55,16.229702742483457,19.893269288489886
espn:401705510,2025-03-06,0.0,-2.0,248.0,0.532875,1.142375,219.435625,0.58535361171183,0.55,16.27577507707006,19.846759328902415
espn:401705470,2025-03-07,0.0,-1.0,235.0,0.161375,-16.025375,224.555125,0.031892619895727996,0.55,16.02285028043934,20.15650543210244
espn:401705471,2025-03-07,1.0,9.0,227.0,0.557125,2.307125,227.506875,0.7009516516324116,0.55,16.209944455005854,19.9502369092293
