ticker,date,stat,threshold,mu_sim,dist,p_sim,p_nb,y,p_play
KXNBAPTS-26APR12ORLBOS-ORLDBANE3-10,2026-04-12,pts,9.5,11.88925,-2.3892500000000005,0.6105,0.6144230599296951,0.0,1.0
KXNBAPTS-26APR12ORLBOS-ORLDBANE3-15,2026-04-12,pts,14.5,11.88925,2.6107499999999995,0.305,0.2895805897273722,0.0,1.0
KXNBAPTS-26APR12ORLBOS-ORLDBANE3-20,2026-04-12,pts,19.5,11.88925,7.6107499999999995,0.11425,0.10587548697809812,0.0,1.0
KXNBAPTS-26APR12ORLBOS-ORLDBANE3-25,2026-04-12,pts,24.5,11.88925,12.61075,0.03575,0.03230670054674234,0.0,1.0
KXNBAPTS-26APR12ORLBOS-ORLDBANE3-30,2026-04-12,pts,29.5,11.88925,17.61075,0.007,0.008637743672325504,0.0,1.0
KXNBAPTS-26APR12ORLBOS-ORLFWAGNER22-10,2026-04-12,pts,9.5,10.51975,-1.0197500000000002,0.51775,0.5228391917270407,1.0,1.0
KXNBAPTS-26APR12ORLBOS-ORLFWAGNER22-15,2026-04-12,pts,14.5,10.51975,3.98025,0.23,0.20693172902029267,1.0,1.0
KXNBAPTS-26APR12ORLBOS-ORLFWAGNER22-20,2026-04-12,pts,19.5,10.51975,8.98025,0.07525,0.062257367848129186,1.0,1.0
KXNBAPTS-26APR12ORLBOS-ORLFWAGNER22-25,2026-04-12,pts,24.5,10.51975,13.98025,0.02125,0.015487412451081872,0.0,1.0
KXNBAPTS-26APR12ORLBOS-ORLFWAGNER22-30,2026-04-12,pts,29.5,10.51975,18.980249999999998,0.0055,0.003359502573314188,0.0,1.0
KXNBAPTS-26APR12ORLBOS-ORLJSUGGS4-10,2026-04-12,pts,9.5,9.3475,0.15249999999999986,0.44375,0.432313403093986,1.0,1.0
KXNBAPTS-26APR12ORLBOS-ORLJSUGGS4-15,2026-04-12,pts,14.5,9.3475,5.1525,0.171,0.14149515463709084,1.0,1.0
KXNBAPTS-26APR12ORLBOS-ORLJSUGGS4-20,2026-04-12,pts,19.5,9.3475,10.1525,0.0405,0.034586489761680106,1.0,1.0
KXNBAPTS-26APR12ORLBOS-ORLJSUGGS4-25,2026-04-12,pts,24.5,9.3475,15.1525,0.0085,0.006935295365368077,0.0,1.0
KXNBAPTS-26APR12ORLBOS-ORLPBANCHERO5-10,2026-04-12,pts,9.5,13.71225,-4.212249999999999,0.72725,0.7121502508381741,1.0,1.0
KXNBAPTS-26APR12ORLBOS-ORLPBANCHERO5-15,2026-04-12,pts,14.5,13.71225,0.7877500000000008,0.4195,0.4000422488484111,1.0,1.0
KXNBAPTS-26APR12ORLBOS-ORLPBANCHERO5-20,2026-04-12,pts,19.5,13.71225,5.787750000000001,0.1745,0.1789328051598047,1.0,1.0
KXNBAPTS-26APR12ORLBOS-ORLPBANCHERO5-25,2026-04-12,pts,24.5,13.71225,10.78775,0.05775,0.0676306420869629,0.0,1.0
KXNBAPTS-26APR12ORLBOS-ORLPBANCHERO5-30,2026-04-12,pts,29.5,13.71225,15.78775,0.016,0.022545420762181245,0.0,1.0
KXNBAPTS-26APR12ORLBOS-ORLWCARTER34-10,2026-04-12,pts,9.5,9.5265,-0.026500000000000412,0.45375,0.44678708919252286,0.0,1.0
KXNBAPTS-26APR12ORLBOS-ORLWCARTER34-15,2026-04-12,pts,14.5,9.5265,4.9735,0.1725,0.15097668361825722,0.0,1.0
KXNBAPTS-26APR12ORLBOS-ORLWCARTER34-20,2026-04-12,pts,19.5,9.5265,9.9735,0.05275,0.03820493222378196,0.0,1.0
KXNBAREB-26APR12ORLBOS-ORLFWAGNER22-10,2026-04-12,reb,9.5,3.361,6.138999999999999,0.00675,0.009157776067370338,0.0,1.0
KXNBAREB-26APR12ORLBOS-ORLFWAGNER22-2,2026-04-12,reb,1.5,3.361,-1.8610000000000002,0.8035,0.8068742877390236,1.0,1.0
KXNBAREB-26APR12ORLBOS-ORLFWAGNER22-4,2026-04-12,reb,3.5,3.361,0.1389999999999998,0.43025,0.4211815218797911,1.0,1.0
KXNBAREB-26APR12ORLBOS-ORLFWAGNER22-6,2026-04-12,reb,5.5,3.361,2.139,0.151,0.15137494532656226,0.0,1.0
KXNBAREB-26APR12ORLBOS-ORLFWAGNER22-8,2026-04-12,reb,7.5,3.361,4.138999999999999,0.036,0.04126090952734918,0.0,1.0
KXNBAREB-26APR12ORLBOS-ORLJSUGGS4-2,2026-04-12,reb,1.5,3.66875,-2.16875,0.856,0.838974629919798,1.0,1.0
KXNBAREB-26APR12ORLBOS-ORLJSUGGS4-4,2026-04-12,reb,3.5,3.66875,-0.16875000000000018,0.47725,0.47766473449408464,1.0,1.0
KXNBAREB-26APR12ORLBOS-ORLJSUGGS4-5,2026-04-12,reb,4.5,3.66875,0.8312499999999998,0.30525,0.31419789725800207,1.0,1.0
KXNBAREB-26APR12ORLBOS-ORLJSUGGS4-6,2026-04-12,reb,5.5,3.66875,1.8312499999999998,0.18375,0.191390134900443,1.0,1.0
KXNBAREB-26APR12ORLBOS-ORLJSUGGS4-8,2026-04-12,reb,7.5,3.66875,3.83125,0.05525,0.05871138002182452,0.0,1.0
KXNBAREB-26APR12ORLBOS-ORLPBANCHERO5-10,2026-04-12,reb,9.5,5.688,3.8120000000000003,0.08675,0.10717399211781564,1.0,1.0
KXNBAREB-26APR12ORLBOS-ORLPBANCHERO5-12,2026-04-12,reb,11.5,5.688,5.812,0.0245,0.04069716570452253,0.0,1.0
KXNBAREB-26APR12ORLBOS-ORLPBANCHERO5-4,2026-04-12,reb,3.5,5.688,-2.1879999999999997,0.78775,0.7536887361185256,1.0,1.0
KXNBAREB-26APR12ORLBOS-ORLPBANCHERO5-6,2026-04-12,reb,5.5,5.688,-0.18799999999999972,0.49175,0.477256871648559,1.0,1.0
KXNBAREB-26APR12ORLBOS-ORLPBANCHERO5-8,2026-04-12,reb,7.5,5.688,1.8120000000000003,0.23025,0.24613421445503603,1.0,1.0
KXNBAREB-26APR12ORLBOS-ORLWCARTER34-10,2026-04-12,reb,9.5,4.59525,4.90475,0.04025,0.044420371574009465,0.0,1.0
KXNBAREB-26APR12ORLBOS-ORLWCARTER34-12,2026-04-12,reb,11.5,4.59525,6.90475,0.0095,0.01295634556792502,0.0,1.0
KXNBAREB-26APR12ORLBOS-ORLWCARTER34-4,2026-04-12,reb,3.5,4.59525,-1.09525,0.64325,0.6254141159246888,1.0,1.0
KXNBAREB-26APR12ORLBOS-ORLWCARTER34-6,2026-04-12,reb,5.5,4.59525,0.9047499999999999,0.3185,0.32312321854770754,1.0,1.0
KXNBAREB-26APR12ORLBOS-ORLWCARTER34-8,2026-04-12,reb,7.5,4.59525,2.90475,0.11725,0.13152505139410786,1.0,1.0
