ticker,date,stat,threshold,mu_sim,dist,p_sim,p_nb,y,p_play
KXNBAPTS-26APR12ORLBOS-ORLDBANE3-10,2026-04-12,pts,9.5,14.38275,-4.88275,0.751,0.7417401774726937,0.0,1.0
KXNBAPTS-26APR12ORLBOS-ORLDBANE3-15,2026-04-12,pts,14.5,14.38275,0.1172500000000003,0.45225,0.43896950507688914,0.0,1.0
KXNBAPTS-26APR12ORLBOS-ORLDBANE3-20,2026-04-12,pts,19.5,14.38275,5.11725,0.21125,0.20877634412202117,0.0,1.0
KXNBAPTS-26APR12ORLBOS-ORLDBANE3-25,2026-04-12,pts,24.5,14.38275,10.11725,0.08125,0.08428949016970044,0.0,1.0
KXNBAPTS-26APR12ORLBOS-ORLDBANE3-30,2026-04-12,pts,29.5,14.38275,15.11725,0.0245,0.030087459909334924,0.0,1.0
KXNBAPTS-26APR12ORLBOS-ORLFWAGNER22-10,2026-04-12,pts,9.5,12.34425,-2.8442500000000006,0.63975,0.6413296778611303,1.0,1.0
KXNBAPTS-26APR12ORLBOS-ORLFWAGNER22-15,2026-04-12,pts,14.5,12.34425,2.1557499999999994,0.33725,0.31747643252375846,1.0,1.0
KXNBAPTS-26APR12ORLBOS-ORLFWAGNER22-20,2026-04-12,pts,19.5,12.34425,7.155749999999999,0.137,0.12272778723791322,1.0,1.0
KXNBAPTS-26APR12ORLBOS-ORLFWAGNER22-25,2026-04-12,pts,24.5,12.34425,12.15575,0.04225,0.03971860380054382,0.0,1.0
KXNBAPTS-26APR12ORLBOS-ORLFWAGNER22-30,2026-04-12,pts,29.5,12.34425,17.155749999999998,0.0115,0.011281383434239567,0.0,1.0
KXNBAPTS-26APR12ORLBOS-ORLJSUGGS4-10,2026-04-12,pts,9.5,11.08525,-1.5852500000000003,0.5675,0.5625880333509616,1.0,1.0
KXNBAPTS-26APR12ORLBOS-ORLJSUGGS4-15,2026-04-12,pts,14.5,11.08525,3.4147499999999997,0.25775,0.2405985134664742,1.0,1.0
KXNBAPTS-26APR12ORLBOS-ORLJSUGGS4-20,2026-04-12,pts,19.5,11.08525,8.41475,0.087,0.07888008474524277,1.0,1.0
KXNBAPTS-26APR12ORLBOS-ORLJSUGGS4-25,2026-04-12,pts,24.5,11.08525,13.41475,0.02275,0.021465147901264414,0.0,1.0
KXNBAPTS-26APR12ORLBOS-ORLPBANCHERO5-10,2026-04-12,pts,9.5,16.63,-7.129999999999999,0.8485,0.8202805661992341,1.0,1.0
KXNBAPTS-26APR12ORLBOS-ORLPBANCHERO5-15,2026-04-12,pts,14.5,16.63,-2.129999999999999,0.598,0.5578479694204763,1.0,1.0
KXNBAPTS-26APR12ORLBOS-ORLPBANCHERO5-20,2026-04-12,pts,19.5,16.63,2.870000000000001,0.30875,0.31396464495062415,1.0,1.0
KXNBAPTS-26APR12ORLBOS-ORLPBANCHERO5-25,2026-04-12,pts,24.5,16.63,7.870000000000001,0.129,0.15227108371193354,0.0,1.0
KXNBAPTS-26APR12ORLBOS-ORLPBANCHERO5-30,2026-04-12,pts,29.5,16.63,12.870000000000001,0.0425,0.065832312579167,0.0,1.0
KXNBAPTS-26APR12ORLBOS-ORLWCARTER34-10,2026-04-12,pts,9.5,8.962,0.5380000000000003,0.41725,0.4004612784548295,0.0,1.0
KXNBAPTS-26APR12ORLBOS-ORLWCARTER34-15,2026-04-12,pts,14.5,8.962,5.538,0.1445,0.12186233717761419,0.0,1.0
KXNBAPTS-26APR12ORLBOS-ORLWCARTER34-20,2026-04-12,pts,19.5,8.962,10.538,0.03525,0.027533363529233523,0.0,1.0
KXNBAREB-26APR12ORLBOS-ORLFWAGNER22-10,2026-04-12,reb,9.5,3.588,5.912,0.01075,0.013087429273409779,0.0,1.0
KXNBAREB-26APR12ORLBOS-ORLFWAGNER22-2,2026-04-12,reb,1.5,3.588,-2.088,0.82975,0.8311217321378628,1.0,1.0
KXNBAREB-26APR12ORLBOS-ORLFWAGNER22-4,2026-04-12,reb,3.5,3.588,-0.08800000000000008,0.46625,0.46315490534434445,1.0,1.0
KXNBAREB-26APR12ORLBOS-ORLFWAGNER22-6,2026-04-12,reb,5.5,3.588,1.912,0.183,0.18061022884032674,0.0,1.0
KXNBAREB-26APR12ORLBOS-ORLFWAGNER22-8,2026-04-12,reb,7.5,3.588,3.912,0.054,0.053787925383484425,0.0,1.0
KXNBAREB-26APR12ORLBOS-ORLJSUGGS4-2,2026-04-12,reb,1.5,3.549,-2.049,0.84675,0.8271890820454446,1.0,1.0
KXNBAREB-26APR12ORLBOS-ORLJSUGGS4-4,2026-04-12,reb,3.5,3.549,-0.04899999999999993,0.46375,0.4560644370917242,1.0,1.0
KXNBAREB-26APR12ORLBOS-ORLJSUGGS4-5,2026-04-12,reb,4.5,3.549,0.9510000000000001,0.2885,0.2941592005083462,1.0,1.0
KXNBAREB-26APR12ORLBOS-ORLJSUGGS4-6,2026-04-12,reb,5.5,3.549,1.951,0.16,0.1754703211312424,1.0,1.0
KXNBAREB-26APR12ORLBOS-ORLJSUGGS4-8,2026-04-12,reb,7.5,3.549,3.951,0.03825,0.0514975404056881,0.0,1.0
KXNBAREB-26APR12ORLBOS-ORLPBANCHERO5-10,2026-04-12,reb,9.5,6.88375,2.61625,0.17525,0.20482594962486933,1.0,1.0
KXNBAREB-26APR12ORLBOS-ORLPBANCHERO5-12,2026-04-12,reb,11.5,6.88375,4.61625,0.06575,0.09621447327064125,0.0,1.0
KXNBAREB-26APR12ORLBOS-ORLPBANCHERO5-4,2026-04-12,reb,3.5,6.88375,-3.38375,0.88875,0.8464256062056464,1.0,1.0
KXNBAREB-26APR12ORLBOS-ORLPBANCHERO5-6,2026-04-12,reb,5.5,6.88375,-1.38375,0.656,0.6214240291301266,1.0,1.0
KXNBAREB-26APR12ORLBOS-ORLPBANCHERO5-8,2026-04-12,reb,7.5,6.88375,0.61625,0.3865,0.38454132140178277,1.0,1.0
KXNBAREB-26APR12ORLBOS-ORLWCARTER34-10,2026-04-12,reb,9.5,6.02225,3.4777500000000003,0.1165,0.13192185915063803,0.0,1.0
KXNBAREB-26APR12ORLBOS-ORLWCARTER34-12,2026-04-12,reb,11.5,6.02225,5.47775,0.04,0.05351650363114058,0.0,1.0
KXNBAREB-26APR12ORLBOS-ORLWCARTER34-4,2026-04-12,reb,3.5,6.02225,-2.5222499999999997,0.80925,0.7839937484665228,1.0,1.0
KXNBAREB-26APR12ORLBOS-ORLWCARTER34-6,2026-04-12,reb,5.5,6.02225,-0.5222499999999997,0.533,0.520722751496081,1.0,1.0
KXNBAREB-26APR12ORLBOS-ORLWCARTER34-8,2026-04-12,reb,7.5,6.02225,1.4777500000000003,0.27675,0.284472818755369,1.0,1.0
KXNBAAST-26APR12ORLBOS-ORLJSUGGS4-10,2026-04-12,ast,9.5,4.08375,5.41625,0.017,0.024600402517453657,0.0,1.0
KXNBAAST-26APR12ORLBOS-ORLJSUGGS4-12,2026-04-12,ast,11.5,4.08375,7.41625,0.00275,0.0059915519766999825,0.0,1.0
KXNBAAST-26APR12ORLBOS-ORLJSUGGS4-6,2026-04-12,ast,5.5,4.08375,1.4162499999999998,0.24175,0.24834011778367993,0.0,1.0
KXNBAAST-26APR12ORLBOS-ORLJSUGGS4-7,2026-04-12,ast,6.5,4.08375,2.41625,0.138,0.1507170085111601,0.0,1.0
KXNBAAST-26APR12ORLBOS-ORLJSUGGS4-8,2026-04-12,ast,7.5,4.08375,3.41625,0.07125,0.08640847635961602,0.0,1.0
KXNBAAST-26APR12ORLBOS-ORLPBANCHERO5-10,2026-04-12,ast,9.5,3.7215,5.7785,0.00825,0.015265297510141274,1.0,1.0
KXNBAAST-26APR12ORLBOS-ORLPBANCHERO5-2,2026-04-12,ast,1.5,3.7215,-2.2215,0.87825,0.8459014193867809,1.0,1.0
KXNBAAST-26APR12ORLBOS-ORLPBANCHERO5-4,2026-04-12,ast,3.5,3.7215,-0.2214999999999998,0.503,0.48804703200363575,1.0,1.0
KXNBAAST-26APR12ORLBOS-ORLPBANCHERO5-6,2026-04-12,ast,5.5,3.7215,1.7785000000000002,0.177,0.19752878627641135,1.0,1.0
KXNBAAST-26APR12ORLBOS-ORLPBANCHERO5-8,2026-04-12,ast,7.5,3.7215,3.7785,0.04425,0.06087697099607403,1.0,1.0
KXNBA3PT-26APR12ORLBOS-ORLDBANE3-1,2026-04-12,fg3m,0.5,1.5135,-1.0135,0.7605,0.7486088091518237,1.0,1.0
KXNBA3PT-26APR12ORLBOS-ORLDBANE3-2,2026-04-12,fg3m,1.5,1.5135,-0.013500000000000068,0.44325,0.43108350714420585,0.0,1.0
KXNBA3PT-26APR12ORLBOS-ORLDBANE3-3,2026-04-12,fg3m,2.5,1.5135,0.9864999999999999,0.20225,0.204285502385829,0.0,1.0
KXNBA3PT-26APR12ORLBOS-ORLDBANE3-4,2026-04-12,fg3m,3.5,1.5135,1.9865,0.0755,0.08378035110165627,0.0,1.0
KXNBA3PT-26APR12ORLBOS-ORLDBANE3-5,2026-04-12,fg3m,4.5,1.5135,2.9865,0.0225,0.030774352606587452,0.0,1.0
KXNBA3PT-26APR12ORLBOS-ORLFWAGNER22-1,2026-04-12,fg3m,0.5,0.895,-0.395,0.58125,0.571002450795365,1.0,1.0
KXNBA3PT-26APR12ORLBOS-ORLFWAGNER22-2,2026-04-12,fg3m,1.5,0.895,0.605,0.22375,0.22734210186728876,1.0,1.0
KXNBA3PT-26APR12ORLBOS-ORLFWAGNER22-3,2026-04-12,fg3m,2.5,0.895,1.605,0.0665,0.07166072942852186,0.0,1.0
KXNBA3PT-26APR12ORLBOS-ORLFWAGNER22-4,2026-04-12,fg3m,3.5,0.895,2.605,0.01875,0.01919818290981956,0.0,1.0
KXNBA3PT-26APR12ORLBOS-ORLFWAGNER22-5,2026-04-12,fg3m,4.5,0.895,3.605,0.00375,0.004562428680891628,0.0,1.0
KXNBA3PT-26APR12ORLBOS-ORLJSUGGS4-1,2026-04-12,fg3m,0.5,1.71425,-1.21425,0.8095,0.7870007156322395,1.0,1.0
KXNBA3PT-26APR12ORLBOS-ORLJSUGGS4-2,2026-04-12,fg3m,1.5,1.71425,-0.21425000000000005,0.503,0.48882666899294125,1.0,1.0
KXNBA3PT-26APR12ORLBOS-ORLJSUGGS4-3,2026-04-12,fg3m,2.5,1.71425,0.78575,0.245,0.2527820286989142,1.0,1.0
KXNBA3PT-26APR12ORLBOS-ORLJSUGGS4-4,2026-04-12,fg3m,3.5,1.71425,1.78575,0.10525,0.1137791037663386,1.0,1.0
KXNBA3PT-26APR12ORLBOS-ORLJSUGGS4-5,2026-04-12,fg3m,4.5,1.71425,2.78575,0.03775,0.04601389836951664,1.0,1.0
KXNBA3PT-26APR12ORLBOS-ORLPBANCHERO5-1,2026-04-12,fg3m,0.5,0.97525,-0.47524999999999995,0.6135,0.6006019389912725,0.0,1.0
KXNBA3PT-26APR12ORLBOS-ORLPBANCHERO5-2,2026-04-12,fg3m,1.5,0.97525,0.52475,0.2575,0.2552148565271868,0.0,1.0
KXNBA3PT-26APR12ORLBOS-ORLPBANCHERO5-3,2026-04-12,fg3m,2.5,0.97525,1.52475,0.08075,0.08631128272874644,0.0,1.0
KXNBA3PT-26APR12ORLBOS-ORLPBANCHERO5-4,2026-04-12,fg3m,3.5,0.97525,2.52475,0.02075,0.02486762267030329,0.0,1.0
KXNBA3PT-26APR12ORLBOS-ORLPBANCHERO5-5,2026-04-12,fg3m,4.5,0.97525,3.52475,0.00275,0.006363506703356614,0.0,1.0
KXNBAAST-26APR12WASCLE-WASBCARRINGTON7-10,2026-04-12,ast,9.5,4.58,4.92,0.03275,0.04255812376691226,0.0,1.0
KXNBAAST-26APR12WASCLE-WASBCARRINGTON7-2,2026-04-12,ast,1.5,4.58,-3.08,0.92225,0.9072151587411657,1.0,1.0
KXNBAAST-26APR12WASCLE-WASBCARRINGTON7-4,2026-04-12,ast,3.5,4.58,-1.08,0.64925,0.6253124717579465,1.0,1.0
KXNBAAST-26APR12WASCLE-WASBCARRINGTON7-6,2026-04-12,ast,5.5,4.58,0.9199999999999999,0.31925,0.3206016262322112,1.0,1.0
KXNBAAST-26APR12WASCLE-WASBCARRINGTON7-8,2026-04-12,ast,7.5,4.58,2.92,0.11,0.12862373176778563,1.0,1.0
KXNBAPTS-26APR12CHIDAL-DALCFLAGG32-25,2026-04-12,pts,24.5,21.1345,3.365500000000001,0.31375,0.32002269620314505,0.0,1.0
KXNBAPTS-26APR12CHIDAL-DALCFLAGG32-30,2026-04-12,pts,29.5,21.1345,8.3655,0.13725,0.18024572499177327,0.0,1.0
KXNBAPTS-26APR12CHIDAL-DALCFLAGG32-35,2026-04-12,pts,34.5,21.1345,13.3655,0.04775,0.09371849566565915,0.0,1.0
KXNBAPTS-26APR12CHIDAL-DALCFLAGG32-40,2026-04-12,pts,39.5,21.1345,18.3655,0.01425,0.04565369294617627,0.0,1.0
KXNBAREB-26APR12CHIDAL-DALCFLAGG32-10,2026-04-12,reb,9.5,5.77325,3.72675,0.0845,0.11326437359409802,0.0,1.0
KXNBAREB-26APR12CHIDAL-DALCFLAGG32-12,2026-04-12,reb,11.5,5.77325,5.72675,0.0275,0.04376508273167645,0.0,1.0
KXNBAREB-26APR12CHIDAL-DALCFLAGG32-6,2026-04-12,reb,5.5,5.77325,-0.27325,0.50575,0.48855433715230756,0.0,1.0
KXNBAREB-26APR12CHIDAL-DALCFLAGG32-8,2026-04-12,reb,7.5,5.77325,1.72675,0.23125,0.25583249167278244,0.0,1.0
