game_id,date,y,margin,total,p_sim,m_sim,t_sim,p_elo,p_const,margin_sd_sim,total_sd_sim
espn:401810753,2026-03-04,1.0,23.0,237.0,0.6975,6.849,232.3475,0.9316069963412854,0.55,13.407729076916793,20.522968687546157
espn:401810754,2026-03-05,1.0,1.0,229.0,0.61275,3.78975,230.96925,0.7644789972204641,0.55,13.224581087410671,20.249180339892774
espn:401810755,2026-03-05,0.0,-10.0,234.0,0.52475,0.95125,234.59175,0.5920497380727474,0.55,13.573848880752283,20.631119260415804
espn:401810756,2026-03-05,1.0,16.0,236.0,0.7315,8.37575,230.23175,0.8846964582537475,0.55,13.550020735685242,20.299840933797977
espn:401810757,2026-03-05,0.0,-2.0,228.0,0.584,2.9025,229.165,0.7982453722158056,0.55,13.45615077761839,20.7058512261631
espn:401810758,2026-03-05,1.0,8.0,222.0,0.594,3.28525,232.42975,0.7321117381589733,0.55,13.481093517867903,20.377047502950468
espn:401810759,2026-03-05,1.0,15.0,227.0,0.5385,1.266,230.294,0.6129616263790282,0.55,13.18452668850877,20.84214633860918
espn:401810761,2026-03-05,1.0,7.0,233.0,0.54075,1.2825,236.7945,0.5607399960650143,0.55,13.32685986082243,20.242202690171837
espn:401810762,2026-03-05,0.0,-10.0,256.0,0.42775,-2.6095,234.153,0.3849922117093641,0.55,13.228095469492196,20.153376664966096
espn:401810763,2026-03-06,1.0,20.0,220.0,0.73725,8.31425,224.35925,0.8862283568444324,0.55,13.459383230204125,20.81114339572672
espn:401810764,2026-03-06,0.0,-8.0,248.0,0.6175,3.92275,229.33175,0.7665586683335657,0.55,13.599164769848919,20.720586187111117
espn:401810765,2026-03-06,1.0,7.0,205.0,0.58225,2.83525,224.49475,0.7595289611556194,0.55,13.630466148943697,20.145780511995557
espn:401810766,2026-03-06,0.0,-39.0,245.0,0.44975,-1.654,228.545,0.4136262075845712,0.55,13.51542762919472,20.51446989322415
espn:401810767,2026-03-06,1.0,2.0,234.0,0.58125,2.838,226.4885,0.6900518598564167,0.55,13.537863790125826,20.517830483508728
espn:401810768,2026-03-06,1.0,4.0,228.0,0.54125,1.309,227.2595,0.7675520321779318,0.55,13.437094886916592,20.202565672458537
espn:401810769,2026-03-06,1.0,11.0,245.0,0.64825,5.06,232.029,0.9023953756918014,0.55,13.741848492833851,20.834278461228266
espn:401810770,2026-03-07,0.0,-27.0,211.0,0.61075,3.48725,232.40325,0.7710560657672951,0.55,13.404731904723048,20.468393670180863
espn:401810771,2026-03-07,0.0,-2.0,212.0,0.777,9.94975,226.10625,0.9524086196074183,0.55,13.25744036145364,20.819028818307064
espn:401810772,2026-03-07,1.0,9.0,241.0,0.59125,2.91425,234.40075,0.6238684320968625,0.55,13.561928216057627,20.877144187783443
espn:401810773,2026-03-07,0.0,-3.0,243.0,0.47075,-0.83475,229.51825,0.2458080085877037,0.55,13.302027756605382,20.183376004462186
espn:401810774,2026-03-07,1.0,14.0,212.0,0.5555,1.82475,236.34325,0.7521114413293998,0.55,13.67335136085883,21.08007185560571
espn:401810775,2026-03-07,1.0,7.0,201.0,0.685,6.31325,230.60975,0.8480691789444709,0.55,13.65968976358907,21.18356568043964
espn:401810776,2026-03-08,0.0,-11.0,207.0,0.5225,0.46325,230.61575,0.6757966466088613,0.55,13.532503443099507,20.60798636299772
